Producto,PLU
 PLATANO,4011
 TOMATE HUAJE SUPREMO,4087
 AGUACATE SUPREMO,4225
 PAPA BLANCA,4083
 CEBOLLA  BCA LIMPIA,4663
 LIMON  AGRIO SUPREMO,9586
HEB CILANTRO MANOJO,2098
 PAPAYA MARADOL,4395
 MANGO ATAULFO SUPREMO,4852
 CALABACITA,4760
 NARANJA  SUPREMA,6445
 PEPINO  FRESCO,4062
 ELOTE BLANCO,4077
 ZANAHORIA,4562
 MELON CHINO,4049
 JICAMA GDE,4626
 FRESA 1 LB,3018
HEB COLIFLOR  BLANCA PZA,2255
 BROCOLI CORONAS,4000
 SANDIA SANGRIA,4344
 TOMATE BOLA SUPREMO,4799
 MANZANA GOLDEN IMP SUPREMA,9080
 CHAYOTE SIN ESPINAS,4761
HEB ESPINACA MANOJO,2098
 PINA MIEL SUPREMA PZA,4430
HEB LECHUGA ROMANA,2010
 LIMON S/SEMILLA,4048
 UVA  BLANCA S/S SUPREMA,4022
LEONALI VEGETALISTOS ESPINACA BABY 250 GR,3019
 MANZANA  GALA IMP,8390
HEB NOPAL LIMPIO,4558
MONTE BLANCO CHAMPINON BCO REB DE 225 GR,1024
SEASONS SELECT SEASONS SELECT LIMON AGRIO EN MALLA,2019
 BLUE BERRIS,0060
 MANZANA GOLDEN EN BSA NACIONAL1.34,2235
 TOMATILLO   LIMPIO,4809
 TORONJA SANGRIA SUPREMA,4297
 MANZANA RED DELICIOUS IMP SUPREMA,4016
HEB ACELGA  VERDE,2098
 SANDIA ROJA SIN SEMILLA,4343
SEASONS SELECT NARANJA EN MALLA 2 KG,0002
HEB CEBOLLA CAMBRAY,2098
MONTE BLANCO CHAMPINO  BCO ENTERO 225GR,1024
HEB ESPARRAGO  1LB,4080
 BETABEL REBOTADO,4540
 PERA  D ANJOU,7360
 CHILE POBLANO,4705
HEB PEREJIL LISO,2098
NUTRIBITS ENSALADA CORAZON DE LECHUGA,4881
 CHILE SERRANO,4709
 AJO EN MALLA,8325
 REPOLLO  VERDE,6425
 PIMIENTO VERDE,4065
 APIO,4070
 TOMATE  FRESADILLA,4801
SEASON SELECT SEASONS SELECT AGUACATE MALLA,2020
SEASONS SELECT AJO SEASONS SELECT AJO 4PZAS,2025
 LECHUGA OREJONA,2051
 PIMIENTO SEMAFORO C/3,3020
 TAJIN CLASICO BAJO EN SODIO 142G,1481
HEB FLOR DE JAMAICA 200 GR,2093
HEB CHAMPINON BCO REB DE 225,2033
EVA LECHUGA HIDROPONICA  FRANCESA,2246
 CEBOLLA  MORADA,4082
 TOMATE  CHERUBS,6667
POPEYE ESPINACA BOLSA (POPEYE),6315
 EJOTE VERDE,4066
 CHILE JALAPEÑO,4693
 FRAMBUESA,3018
 PIMIENTO ROJO,4088
 EARTHBOUND FARM  BABY SPINACH SALAD ORG,0190
 MANZANA GRANNY SMITH GDE IMP,1901
 TOMATE  D GLORY,6661
 MANZANA GOLDEN DE SALTILLO 900GR,3008
SEASONS SELECT AGUACATITO  EN MALLA,2041
HEB CORAZON DE APIO ORGANICO HEB,2097
 DESINFECTANTE AGUA Y ALIMENTOS,1119
 FLORETES BROCOLI EN BOLSA 1LB,6311
 ARTICULO   DESCONOCIDO,0000
EVA ENSALADA PRIMAVERA 250 GR,2246
 CHAMPINON JUMBO DE 500 GR,1024
HEB HEB AJO  EN MALLA,2089
 GUAYABA SUPREMA,9803
HEB FRESH PIñA,2399
 PAPAYA  ROYAL STAR,4396
HEB HEB ESPINACA 284GR,2090
 CAMOTE AMARILLO,4818
SEASONS SELECT NARANJA EN MALLA 5 KG,2020
 ZARZAMORA,7565
HEB RABANITOS EN MANOJO,2098
 CORAZON DE APIO,6311
EVA ENSALADA LECHUGA HIDROPONICA ITALIANA,2246
 PAPA BLANCA CHICA,4731
 VEGETALISTOS ZANAHORIA BABY 340 GR,3019
 KIWI,4030
 CAMOTE MORADO,4817
 MANZANA GOLDEN EN BOLSA 600 G,2094
 LIMON AMARILLO  ( VARIEDAD EUREKA),4033
 PALITOS DE APIO ORGANICO,6311
 LECHUGA MORADA (SANGRIA) NAL,2051
TAJIN CHILE  EN POLVO,1481
 JENGIBRE,4612
 EARTHBOUND FARM  BABY ARUGULA SALAD ORG,0190
 PLATANO MACHO GDE,4235
HEB CHAMPINON CREMINI DE 225 GR,1024
 ZANAHORIA BABY BOLTHOUSE 340 GR,8366
 AJO  ORGANICO,2236
 MICRODYN  DESINFECTANTE CON TAPA,1119
HEB CORAZON DE NUEZ 150GR,2084
 CORAZON DE APIO ORGANICO,6311
 DURAZNO  IMPORTADO,4038
SEASONS SELECT TORONJA EN MALLA DE 2.5K,2025
 SANDIA BAMBINO,4360
HEB CHAMPINON CREMINI REB DE 225 GR,1024
EVA ENSALADA  MIXTA 200 GM,2246
SEASONS SELECT TOMATILLO  LIMPIO SEASON SELECT,2020
 MANDARINA  MONICA,3029
 PAPA GALEANA,4729
 JAMAICOOL  CAJA 250 GR,3003
EVA BITS DE COLIFLOR,3022
 ALCACHOFA VERDE PZA,4084
 HONGO PORTABELLA DE 500 GR,1024
 BERENJENA,4081
 UVA  ROJA S/S SUPREMA,XXXX
 PIMIENTO AMARILLO,4680
TAJIN TAJIN CHILE GUAJILLO,1483
 SPRESH  DESINFECTANTE FRUTAS Y VERDURAS,3018
 CORAZONES DE LECHUGA ORGANICA,6317
HEB FRESH JíCAMA,2382
HEB GERMINADO DE SOYA 250 GR,2095
HEB TROZOS DE NUEZ 150G,2086
MR LUCKY FLORETES DE COLIFLOR,6312
 MANZANA GOLDEN SALTILLO BIN,3208
 EARTHBOUND FARM BABY SPRING  MIX,0190
FRUBOTANAS ARANDANO NATURAL,2254
HEB PALITOS DE APIO HEB,2093
EVA ENSALADA  MIXTA FRESHLY 300 GR,2246
EVA ENSALADA TOSCANA,2246
HEB HEB ESPINACA BABY 170GR,2090
HEB ALMENDRA 150GR,2087
HEB GUACAMOLE HEB CHICO,9001
 FRIJOL PINTO,4820
 PIKA YAMBA LIGHT,2212
 CEBOLLA  AMARILLA,4093
 MELON VALENCIANO,4034
 APIO ORGANICO MR LUCKY,6311
 ALBAHACA EMPACADA,3018
HEB CORAZON DE LECHUGA HEB,2086
HEB ALMENDRA FILETEADA,2092
 VEGETALISTOS ZANAHORIA RALLADA 340 GR,3024
 LECHUGA ITALIANA NAL,2051
 MELóN,2397
 PAPAYA,2398
 HONGO PORTABELLINI DE 225 GR,1024
HEB SALSA  GUACAMOLE CH,7225
 VEGETALISTOS JICAMA PRECORTADA 454 GR,3019
MR LUCKY ENSALADA ITALIANA ORGANICA,6317
HEB ENSALADA KALE ORGÁNICO HEB 200 GR,2009
HEB AGUA FRESCA 1 LT,0006
HEB CEBOLLA DE RABO,3016
HEB ALMENDRA,2087
TAJIN TAJIN CHILE ANCHO 75 GR,1483
HEB HEB UVA PASA 200 GR,2093
HEB TROZOS DE NUEZ 300GR,2086
HEB FRESH SANDIA,2396
HEB FLOR DE JAMAICA 1KG,2093
HEB CHILE ANCHO 100GR,2098
 ELOTE  AMARILLO DULCE,6965
 MINI FLORETES DE BROCOLI,6311
HEB HEB ENSALADA AMERICANA,2085
TAJIN TAJIN CHILE DE ARBOL,1483
 VEGETALISTOS ZANAHORIA BABY IND 150 GR,3019
FRESH GOURMET CRUTON CESAR,3591
EVA ENSALADA  CESAR PREMIUM,2246
HEB ALBAHACA VERDE,2098
EARTHBOUND FARM EARTHBOUND FARM BABY SPINACH & BAB,0190
HEB CEBOLLIN,2098
HEB HIERBABUENA EN MANOJO,2098
 TOMATE CHERRY  MR LUCKY,6316
 MEZCLA DE FLORETES BROCOLI/COLIFLOR,6311
EVA ENSALADA   MINI FRANCESA,2246
POPEYE ESPINACA BABY BOLSA (POPEYE),8365
TAJIN TAJIN CHILE PASILLA,1483
 PORO GRANEL,4629
 COL MORADA,6235
